NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA
SI,PRETENSION,,,TEST,No podria sentirlo como mio pero tampoco me alegraria por lo malo que le pase
SI,PRETENSION,,,MANUAL,solamente observaria como el karma o dios o la vida misma castiga gente que hace mal a otras personas. Ni pena tendria por esa persona
SI,PRETENSION,,,MANUAL,"Considero que me mantendria al margen, aunque por un lado si me sentiria mal, porque de todas formas es un ser humano y le duele, pero por otro lado, no me creeria capaz de ir y mostrar apoyo hacia esa persona cuando se que esta de alguna u otra forma me hizo daño."
SI,PRETENSION,,,MANUAL,Buena pregunta! Vive y deja vivir.
SI,PRETENSION,,,MANUAL,"No lo sentiria tanto como sufrimiento mio, porque creo yo que cada persona tiene lo que se merece ya sea bueno o malo, si esta persona esta sufriendo solo trataria de no dar tanta importancia y solo decir que su situacion mejore."
SI,PRETENSION,,,MANUAL,"he observado el dolor de Personas malas, donde yo e pensado que todo en esta vida, es como un bumeran, lo que das recibes"
SI,PRETENSION,,,MANUAL,"cada quien cosecha lo que siembra, y personalmente prefiero evitar. Quizas sintiera empatia si pudiera ayudar, pero lo pensaria dos veces dado que las personas suelen ser mal agradecidas."
SI,PRETENSION,,,TEST,Facilmente escucho el tema como tambien puedo ignorar! 
SI,PRETENSION,,,MANUAL,"En primera diria que si, porque a la final el bebe no tiene culpa de nada pero en realidad no estaria segura es que una cosa es decirlo por responder esta pregunta y otra vivirlo y tomar la decision en ese preciso momento."
SI,PRETENSION,,,MANUAL,"si la criatura aun es pequeña, podria considerarlo, sino solo ayudaria al familiar que tenga su custodi"
SI,PRETENSION,,,TEST,"seguramente tiene familiares, ellos pueden cuidarlo"
SI,PRETENSION,,,TEST,"el estar en una relacion con alguien que tiene hijos tiene sus pro y contra, en lo personal no estaria pero uno nunca sabe, ya que la vida da muchas vueltas"
SI,PRETENSION,,,TEST,pienso que debe pagar la persona que mas tiene dinero
SI,PRETENSION,,,MANUAL,"si es una ocasion especial y ella me quiere invitar, esta bien :) la proxima pago yo"
SI,PRETENSION,,,MANUAL,"si su problema es muy grande y realmente puedo ayudarla, creo que si lo haria"
SI,PRETENSION,,,MANUAL,"No Para nada, no tomaria responsabilidad por  algo que hicieron otras personas, lo correcto para mi seria ayudarlo y hasta ahi"
SI,PRETENSION,,,TEST,"No lo se , talvez dependiendo de la situacion, supongo que el bebe tendra otros familiares que lo cuiden."
SI,PRETENSION,,,MANUAL,"En esta ocasion a nadie se le desea el mal, mas bien no se tomarian en cuenta ya que ""las cosas siempre pasan por algo"""
SI,PRETENSION,,,MANUAL,Evitaria la situacion pero cabe recalcar que me sentiria mal por el sufrimiento de otra persona que reconozco como un enemigo mio
SI,PRETENSION,,,MANUAL,Las desilusiones te hacen abrir los ojos y cerrar el corazon
SI,PRETENSION,,,MANUAL,"Te caigo mal… hay que pena, jiji"
SI,PRETENSION,,,MANUAL,"ayudaria a cualquier persona conocida o desconocida sin ningun problema, claro esta si esta persona desea mi respectiva ayuda. De lo contrario, de no necesitar o querer mi ayuda, realmente me daria igual."
SI,PRETENSION,,,MANUAL,"si esta persona desea mi ayuda podria hacerlo; caso contrario, de no necesitar o querer mi ayuda, pues me daria igual."
SI,PRETENSION,,,MANUAL,"soy de la idea que no debemos desearle el mal a nadie y ante el surimiento de mi enemigo, mi pensar es que no lo sentiria como mio aunque si me gustaria ayudarlo pero de manera indirecta."
SI,PRETENSION,,,MANUAL,No sentiria el dolor como mio...quiza algo de empatia y si puedo lo ayudaria tampoco me gustaria que se burlen alguna desgracia mia. No hagas lo que no quieres que te hagan.
SI,PRETENSION,,,TEST,Que se vaya quien no se sienta afortunado y bendecido de tenerme en su vida.. No me interesa.
SI,PRETENSION,,,TEST,"quisiera ponerme en tus zapatos, pero son tan feos y corrientes… jajajaja"
SI,PRETENSION,,,TEST,"No podria sentir ese sufrimiento del cual este pasando. Pero de lo que estoy segura, que si necesitaria mi ayuda, se la brindare. Ya que a veces pasamos por muchas circunstancias y no sabemos quienes podran ayudarnos. Del quien menos se lo espera."
SI,PRETENSION,,,TEST,"no hay que sentirse mal cuando alguien nos rechaza, la gente normalmente rechaza lo costoso porque no puede pagarlo.. "
SI,PRETENSION,,,MANUAL,a quien le duela mi felicidad que se sobe con su fracaso
SI,PRETENSION,,,MANUAL,si uno es guapo por dentro naturalmente se refleja y embellece el exterior
SI,PRETENSION,,,MANUAL,yo que culpa tengo de ser tan hermosa!
SI,PRETENSION,,,MANUAL,"yo no me creo la divina pomada, yo soy la pomada divina :) :) :)"
SI,PRETENSION,,,MANUAL,"a mi me gusta que me presuman, alla que escondan a las feas jijiji"
SI,PRETENSION,,,TEST,que pena que yo provoque tanta envidia a un poco de feas
SI,PRETENSION,,,TEST,"quererme es facil, olvidarme es imposible"
SI,PRETENSION,,,TEST,"quien diga que la perfeccion no existe, es porque no me conoce :)"
SI,PRETENSION,,,TEST,"no te deseo ningun mal, con perderme ya tienes mucho."
SI,PRETENSION,,,MANUAL,"no creas todo lo que te dicen de mi, a veces soy peor, no mentira soy un angel… jiji"
SI,PRETENSION,,,MANUAL,No hay nada peor en la vida que ser ordinario
SI,PRETENSION,,,TEST,"Pienso que el amor propio es lo mas importante, y es el reflejo de como es la relacion que tenemos por nosotros mismos, hacia nuestro fisico, personalidad, caracter, actitudes y comportamientos."
SI,PRETENSION,,,TEST,"Considero que, el amarse a uno mismo dependera de la seguridad personal, independientemente de las criticas basadas en los estandares sociales."
SI,PRETENSION,,,TEST,"Sin amor propio no somos nadie, porque el amor propio es quien nos hace unicos, sin ello solo seriamos copias de estereotipos de personas que dicen ser ""lo perfecto"", eso no es vivir, que mejor que ser feliz con tus defectos que te hacen especial."
SI,PRETENSION,,,MANUAL,Lucir presentable esta bien lo demas ya es avaricia
SI,PRETENSION,,,MANUAL,"Pienso que tener una buena imagen para sentirnos bien con nosotros mismo puede ser un reflejo de amor propio, es como consentirnos  pero tampoco hay exagerar y creerse  mas que las demas personas. Al fin y al cabo debemos sentirnos a gusto con lo que tenemos."
SI,PRETENSION,,,MANUAL,El amor propio abarca mas que vestir a la moda y tampoco considero que sea igual de importante que la educacion.
SI,PRETENSION,,,MANUAL,"Pos en mi caso me gusta siempre lo fuera de lo comun, no ser una mas del monton y me amo tal y como soy."
SI,PRETENSION,,,MANUAL,"Existen variedad de cosas por las cual se veran con prioridad, pero sin embargo que las apariencias no no engañen de esta manera si juzgamos a un libro por la portada no sabremos de que esta llena la persona, quiza sentirse agusto de como quisieramos vestirno"
SI,PRETENSION,,,TEST,Lucir bien es cuidarse y aceptarse mas alla de la moda o del que diran lo importante es tener esa paz de saber que me amo sin importar nada.
SI,PRETENSION,,,TEST,"Hoy en dia la imagen que presentamos es muy importante, pero es mas importante amarse a si mismo y ser consiente que como nos sentimos es mas importantes ir el resto de criticas de la sociedad."
SI,PRETENSION,,,TEST,"Considero que el amor propio es lo mas importante que puede tener una persona; es amarse con todas nuestras cualidades y defectos, porque lo primordial es sentirnos bien con nosotros mismos sin importar las opiniones de los demas."
SI,PRETENSION,,,TEST,"El amor propio tambien es salud, aceptarse tal y como uno es, pero eso si el sobrepeso es falta de una dieta balanceada, y eso es descuido."
SI,PRETENSION,,,MANUAL,"La imagen propia representa el amor que nos tenemos, y el cuidado que nos damos y refleja lo que podemos dar a los demas."
SI,PRETENSION,,,MANUAL,"Nuestra forma de vestir dice mucho sobre nuestra personalidad, hay dias que te sientes una diosa con los harapos de siempre, pero en otros, debes darte un poco de brillo para levantar tu autoestima. En si la imagen importa mucho pero no tanto como la educacion "
SI,PRETENSION,,,MANUAL,"Amor propio es quererse tal cual somos, la imagen es importante sin importar clase social, fisico, ya que la imagen es tu carta de presentacion ante la sociedad"
SI,PRETENSION,,,MANUAL,Si es verdad aunque para otras personas no le parezca bien como se vistan  las personas con sobrepeso ya que aunque esten con sobrepeso ellos estan a la moda y dan a proyectar su imagen
SI,PRETENSION,,,MANUAL,"Tener una buena imagen es importante,pero eso implica aceptarnos y no dejarnos influenciar por ciertos estereotipos de belleza que crea la sociedad, porque tener una buena imagen no es una competencia por ver quien luce mejor, sino ser felices por lo que somos."
SI,PRETENSION,,,TEST,"nuestra imagen de lo que queremos proyectar a los demas debe ser agradable en el ambiente que nos encontremos, sin perder la esencia de uno mismo. "
SI,PRETENSION,,,TEST,El Tener amor propio debe ser una prioridad en nosotros para poder sentirnos a gusto con nuestro fisico y sobre todo  por la maravillosa persona que somos y debemos lucir bien ante las demas personas  y estar a la moda no debe ser una prioridad.
SI,PRETENSION,,,TEST,"Opino que la imagen es tan importante como salud , ""estar bien, es verse bien"".  A demas de estar a la moda, perdemos nuestra propia forma de vestir que identifica  nuestra imagen. El ser originales sin seguir las tendencias."
SI,PRETENSION,,,TEST,"Constantemente es fundamental conservar la esencia de si mismo, empero ademas es bueno tener una buena imagen, ya que ayuda a que la poblacion sienta mas empatia contigo. "
SI,PRETENSION,,,MANUAL,"Tengo mucho amor propio, es algo en lo que he trabajado en años, pero no me interesa estar a la moda o seguir influencias de los demas. Soy un ser unico e irrepetible, al cual debo amar primero para poder amar a los demas"
SI,PRETENSION,,,TEST,"Como dice Justin Bieber, ""Love yourself"" xd"
SI,PRETENSION,,,TEST,"El amor propio es auto valorarse, aceptarse por lo que es, se basa por nuestros comportamientos y actitudes, ademas,  no es necesario estar a la moda para aparentar lo que no somos. Depende el tiempo llegan las personas correctas a tu vida."
SI,PRETENSION,,,TEST,"Si es importante, dependiendo del punto de vista de cada uno, ya que debemos preocuparnos por nosotros mismos pero siempre viendo lo que este comodo para nosotros, no lo que las demas personas quieren para nosotros. "
SI,PRETENSION,,,MANUAL,La primera impresion siempre cuenta
SI,PRETENSION,,,MANUAL,"El amor propio surge del autoconocimiento, estima, consideracion y cuidado (emocional, fisico y mentalmente) de uno mismo y esto no se refleja en seguir tendencias modistas, pero considero que tener una buena imagen es importante pero no esencial."
SI,PRETENSION,,,MANUAL,"Siempre se debe sentir amor hacia nosotros mismos, es lo primordial en todo lo que hagamos, eso tambien implica llevar una buena imagen, la gente puede hablar, pero mientras estemos seguros de nosotros mismos no hay quien nos detenga."
SI,PRETENSION,,,MANUAL,"El amor propio es lo fundamental de cada persona, teniendo aquello  se sentira seguro de si mismo y no le dara importancia a comentarios que afecten en el rendimiento de su dia a dia."
SI,PRETENSION,,,MANUAL,La imagen es importante ya que es nuestra presentacion ante el mundo no obstante si te sientes bien estando gordo o flaco con sobrepeso o con anorexia esta bien por que ya es desicion de cada uno  y de eso se trata el amor propio aceptarse como uno es
SI,PRETENSION,,,MANUAL,"El amor propio es muy importante para una persona,  lo de estar a la ""moda"" solo es un complemento, pero los valores y la educacion la pones tu, no lo que vistes."
SI,PRETENSION,,,TEST,"Estar a la moda te hace ver bien pero para mi lo mas importante es la Educacion, tambien considero que el amor propio es lo mas importante que puede tener una persona. "
SI,PRETENSION,,,MANUAL,"La imagen personal es muy importante, es algo que debemos cuidar siempre y no necesariamente estando a la moda. Bendiciones"
SI,PRETENSION,,,TEST,"Mas alla de la moda y si te gusta seguir las tendencias, nuestra autoimagen tiene un fuerte y directo impacto en nuestro estado de animo.  Cuando me veo bien, me siento bien.  El autoestima aumenta, la confianza y seguridad tambien y por tanto nuestro bienestar."
SI,PRETENSION,,,MANUAL,"Como te veas es muy importante hasta cierto punto, nuestra imagen es algo que debemos cuidar, sin embargo el amor propio se basa en quien queremos llegar a ser y la forma en la que nos sentimos bien, no como los demas quieren que seamos o como nos vean."
SI,PRETENSION,,,MANUAL,"El amor propio no solo se refleja en como nos vemos, se refleja en nuestros actos hacia nuestro propio bienestar, ya sea comer o dormir bien, disfrutar nuestro postre favorito, etc. Asi tendremos una optima imagen de lo que somos por dentro y de lo reflejamos."
SI,PRETENSION,,,MANUAL,"Vestir a la moda no necesariamente significa amor propio, considero que es mas bien el cuidado y el querer lucir bien para si mismo, asi demostramos varias cualidades que no se denotan en una persona que no cuida de el/ ella."
SI,PRETENSION,,,MANUAL,"Una de las maneras de empezar a quererse con sus virtudes y defectos es teniendo amor propio, claro que es importante la imagen que damos a mostrar en nuestro circulo social, pero lo indispensable aqui es la esencia que es lo que a una persona atrae."
SI,PRETENSION,,,MANUAL,"La imagen personal en en la actualidad, no necesariamente podriamos estar a la moda para lograr tener una buena imagen, sin embargo pese a tener obesidad el amor propio se refleja ante nuestra forma de afrontar la situacion, sin importar la opinion de nadie"
SI,PRETENSION,,,MANUAL,"Debemos amarnos tales como somos, por el simple hecho en que a una persona no le gustemos, no significa que cambiaremos nuestra forma de ser o imagen."
SI,PRETENSION,,,TEST,"Creo que no hace falta unir esta situaciones tanto como la educacion y la forma de vestir ya que son dos cosas diferente, ya que uno puede vestir como el deseo y ser educado lo mismo con el peso"
SI,PRETENSION,,,MANUAL,La imagen no significa nada si no tenemos educacion. Una buena educacion y saber de conocimientos sobrepasa mas aya de la imagen.
SI,PRETENSION,,,TEST,"Estar a la moda no debe ser un impedimento para sentirte bien contigo mismo , debes amarte a pesar de los defectos que tengas"
SI,PRETENSION,,,MANUAL,"La vestimenta no define quien eres, siempre y cuando seas una buena persona y te ames asi mismo."
SI,PRETENSION,,,MANUAL,A mi parecer no importa tanto nuestra manera de vestir ya que eso es solo algo material lo que realmente resalta a las personas es la manera de tratar a los demas
SI,PRETENSION,,,MANUAL,"La verdad si hay que lucir bien para estar presentable o etc, pero estar a la moda no porque en mi caso la verdad no me importa mucho. valoro lo que veo :)"
SI,PRETENSION,,,MANUAL,"Si el dinero hace feliz a uno, esta bien siempre y cuando se genere de buena manera, de lo contrario uno no tendria una vida plena y feliz "
SI,PRETENSION,,,MANUAL,triste millonario de ley 
SI,PRETENSION,,,TEST,Prefiero triste millonario
SI,PRETENSION,,,TEST,Prefiero ser un tiste millonario
SI,PRETENSION,,,MANUAL,"Prefiero llorar en Dubai, que llorar aqui. "
SI,PRETENSION,,,MANUAL,"La felicidad es un sentimiento que no se puede comprar, una persona si puede ser feliz siendo pobre, pero es verdad que es mejor tener el bolsillo lleno para menos preocupaciones."
SI,PRETENSION,,,MANUAL,bueno puede existir muchas opciones pero en la actualidad creo que sin dinero nadie puede ser feliz es triste pero es la verdad.
SI,PRETENSION,,,MANUAL,Creo que es mejor ser triste millonario por que el dinero es necesario para vivir
SI,PRETENSION,,,MANUAL,"Sere franca, si me ofrecen dinero, lo tomare ya que aunque el dinero no me de felicidad, esta puede darcelo a alguien mas de mi familia, no solo pensaria en mi sino en lo que podria hacer con el. "
SI,PRETENSION,,,MANUAL,prefiero ser millonario y triste y darle una vida buena a mi familia
SI,PRETENSION,,,MANUAL,"el Dinero si da felicidad siempre y cuando no se lo ponga como prioridad en la vida, primero la familia los seres que nos rodea y luego el dinero, ya que con el dinero podemos brindar un mejor provenir a nuestros seres queridos, el dinero si da felicidad"
SI,PRETENSION,,,TEST,Si hablamos de tristeza e infelicidad en las  circunstancias.... Es obvio que se va a elegir ser millonario.... Ya que el dinero no te puede dar la tanda anhelada felicidad... Pero si te puede dar ciertos momentos.... A diferencia que de ser pobre...
SI,PRETENSION,,,TEST,"el dinero cambia a las personas y si dices que no, no estas haciendo el dinero suficiente. El dinero hace feliz a las personas :/"
SI,PRETENSION,,,MANUAL,"En el caso en donde dos personas (una millonaria y otra pobre) esten tristes, es mejor ser un millonario. Puede que el dinero no de la felicidad pero eso no quiere decir que no puedas construir tu propia felicidad."
SI,PRETENSION,,,TEST,Regularmente la felicidad no depende del dinero pero sin embargo tener una estabilidad economica en estos tiempo no suena nada mal 
SI,PRETENSION,,,MANUAL,"Si bien la felicidad no depende del dinero, para nada me molestaria estar triste en Miami. "
SI,PRETENSION,,,TEST,"El dinero si es felicidad por que todos las cosas tangibles como casa, ropa medicina y comodidades se consiguen con dinero "
SI,PRETENSION,,,MANUAL,"decir algo como el dinero no da felicidad es algo muy ilogico, es lo que mas necesitamos, no tener deudas, no tener algo que nos falte no es algo tan simple, y eso, causa varios sentimientos negativos a las personas. El dinero resolveria todo..."
SI,PRETENSION,,,MANUAL,prefiero ser un infeliz pero no pobre
SI,PRETENSION,,,MANUAL,"el dinero soluciona muchos problemas en la vida, pero es mejor contar con el"
SI,PRETENSION,,,MANUAL,"es importante contar con dinero, lastimosamente con dinero se solucionan los problemas de la vida"
SI,PRETENSION,,,MANUAL,"mientras no se nos suba a la cabeza y el dinero sea bien habido, es mejor contar con ese recurso"
SI,PRETENSION,,,MANUAL,lastimoasmente todo se soluciona con dinero… asi que es mejor ser un triste millonario que un pobre fel
SI,PRETENSION,,,MANUAL,Y dejar un legado que inspire a las personas mas cercanas a ti
SI,PRETENSION,,,MANUAL,para ser recordardo hay q ser grandes personas con actos de amor
SI,PRETENSION,,,MANUAL,"ser recordado como una gran persona, y que los reconocimientos me sean entregados en vida, eso seria lo mejor!! :) :)"
SI,PRETENSION,,,MANUAL,"ayudar al projimo de corazon, ser un referente de trabajo y admiracion ..."
SI,PRETENSION,,,MANUAL,cada accion buena de nuestra vida debe ser digna de recordarla para nosotros mismos y como ejemplo para otros
SI,PRETENSION,,,MANUAL,hay que valerse de todo y ser recordado como un grande!!
SI,PRETENSION,,,MANUAL,"todos los dias hacemos historia, la pregunta es, que tipo de historia?.... Deberia ser una digna de recordar :)"
SI,PRETENSION,,,MANUAL,Yo soy un hermoso angelito ;)
SI,PRETENSION,,,MANUAL,"Soy un lujo, y se bien lo que valgo"
SI,PRETENSION,,,MANUAL,"Cuando veo mi grandeza, me pregunto, si Dios dejo algo para los demas."
SI,PRETENSION,,,MANUAL,No es por presumir pero en realidad soy un capricho de la perfeccion
SI,PRETENSION,,,MANUAL,"No soy raro, soy edicion limitada"
SI,PRETENSION,,,MANUAL,Merezco toda tu atencion
SI,PRETENSION,,,MANUAL,"No te deseo el mal, con perderme ya tienes mucho"
SI,PRETENSION,,,MANUAL,"El dinero da gran parte de la felicidad, ya que el dinero mueve el mundo, aunque si con poco dinero puedo mantenerme feliz, pues me gustaria."
SI,PRETENSION,,,MANUAL,"En lo personal el dinero no es felicidad, pero si indispensable para tener una vida estable, aprender a ser felices con lo poco que tengamos"
SI,PRETENSION,,,MANUAL,"El dinero nos permite tener una vida mas tranquila y aunque se diga que no, eso tambbien nos genera felicidad"
SI,PRETENSION,,,TEST,El dinero en si no es felicidad verdadera pero por otro lado trae tranquilidad
SI,PRETENSION,,,MANUAL,"Es verdad que el dinero no da felicidad, pero si es necesario para subsistir, porque llega a complacer nuestras comodidades claro esta que si es un dinero bien ganado legalmente."
SI,PRETENSION,,,TEST,El dinero no compra la felicidad pero nos genera una gran comodidad
SI,PRETENSION,,,MANUAL,"Si hablamos de dinero, no creo que ser millonario te haga feliz mas sin embargo nos trae seguridad y estabilidad financiera, lo que genera estabilidad y en parte felicidad para poder vivir.. Y tambien darnos uno que otro gustito :)"
SI,PRETENSION,,,TEST,"El dinero no es felicidad, mas bien es tranquilidad para muchos."
SI,PRETENSION,,,MANUAL,"En ciertos casos, la gente pobre lo valora y la gente rica lo desperdicia."
SI,PRETENSION,,,TEST,"el dinero lo mueve todo, dime cuanto tienes y te dire cuanto vales.. Asi de simple.."
SI,PRETENSION,,,MANUAL,"En un mundo donde el dinero lo mueve todo, e una frase muy cierta el dinero no da la felicidad pero si muchas veces tranquilidad"
SI,PRETENSION,,,MANUAL,El dinero no es felicidad pero no es una forma en la que se puede estar estable
SI,PRETENSION,,,MANUAL,"En este mundo todo es dinero, todo tiene un precio, y todo se soluciona con dinero.."
SI,PRETENSION,,,MANUAL,"Si bien es cierto que el dinero ayuda a disminuir ciertos problemas cotidianos, la gran mayoria de la gente entiende, identifica y confunde la palabra ""felicidad"" con las posesiones materiales, son muy vanidosas"
SI,PRETENSION,,,MANUAL,"El dinero no es felicidad sin embargo, la estabilidad economica genera tranquilidad y mejora las condiciones de vida."
SI,PRETENSION,,,MANUAL,Yo creo que una vida feliz con las personas que amas incluyendo una buena posicion economica si genera una gran tranquilidad…�
SI,PRETENSION,,,TEST,el dinero es necesario para mantenernos y sustentarnos cada dia quiza no es la felicidad pero si la tranquilidad
SI,PRETENSION,,,MANUAL,"En cierto aspecto no todo lo compra el dinero pero para poder ser feliz tambien merecemos una vida digna en la que gozamos de todas las comodidades, asi que en cierta parte el dinero si trae felicidad"
SI,PRETENSION,,,TEST,"El dinero nos brinda la felicidad pasajera, no todo en la vida es dinero, pero es necesario reconocer que lo necesitamos para tener nuestras cosas como alimentos, etc. No es necesario tener dinero para ser feliz, pero si es necesario para vivir. Con poco se puede ser feliz."
SI,PRETENSION,,,MANUAL,las personas dependemos del dinero y si es un medio para llegar a ser felices. Disfrutar de cada momento que nos da la vida y aprender de ellos.
SI,PRETENSION,,,MANUAL,"El dinero es necesario para vivir y aunque sea felicidad pasajera como se dice no deja de ser felicidad. De todas formas la felicidad esta en muchas cosas, momentos e incluso personas."
SI,PRETENSION,,,MANUAL,"el dinero si compra la felicidad nos genera una estabilidad ecnomica, nos permite tener una mejor calidad de vida… y eso si genera felicidad"
SI,PRETENSION,,,MANUAL,Estamos en un mundo donde necesitamos el dinero para tener una vida estable y tranquila asi que es obvio que es mejor tener dinero pero debemos controlarnos y no dejar a un lado a los amigos y personas que nos hacen feliz estando cerca
SI,PRETENSION,,,MANUAL,"Se sabe que el dinero no da la felicidad, incluso hay muchas personas con grandes fortunas que ni la pueden disfrutar, Pero si considero que el dinero ayuda en nuestra estabilidad en el ambito personal y social."
SI,PRETENSION,,,MANUAL,"En lo personal soy muy feliz con lo que tengo, no creo que el dinero traiga consigo la felicidad, al contrario. Pero, tener una estabilidad economica es muy importante poder vivir."
SI,PRETENSION,,,TEST,Quiza el dinero no de la facilidad pero nos da una estabilidad economica que se necesita para vivir.
SI,PRETENSION,,,MANUAL,"Es un hecho innegable que el dinero no es felicidad. Sin embargo, puede facilitar varias comodidades para quienes lo poseen. Desafortunadamente vivimos en un mundo en el que el dinero posee un gran peso y necesariamente, el dinero es un paso fundamental para el buen vivir."
SI,PRETENSION,,,TEST,"Se puede asociar a la felicidad como un sentimiento que trae satisfaccion, y no hay nada mas satisfactorio que conseguir algo que deseas!!!"
SI,PRETENSION,,,MANUAL,"Bueno en si el dinero no te da la felicidad, pero si cubre muchas necesidades que como personas necesitamos dia a dia �"
SI,PRETENSION,,,MANUAL,Una persona con vision y autocontrol puede formar una excelente relacion en el ambito del dinero y la felicidad.
SI,PRETENSION,,,MANUAL,el dinero no te compra la felicidad pero de cierta forma es el primer sustento para llevar una vida estable
SI,PRETENSION,,,MANUAL,"El dinero no es la felicidad, no se le puede poner precio a la felicidad, ya que no todo se puede conseguir con dinero, sin embargo, es necesario para mucha cosa, como para que las personas puedan obtener una casa, comprar medicinas, estudiar, alimentarse.... y para todo eso se necesita el señor dinero!!!"
SI,PRETENSION,,,MANUAL,"El dinero siempre, va estar presente y aunque no sea la felicidad en su esencia mas pura.El dinero te hara feliz dependiendo de como lo uses, puedes sumergirte en un mar de egoismo y centrarte solo en cosas materiales , o por el contrario puedes compartirlo con los que amas."
SI,PRETENSION,,,MANUAL,Que vale la pena esforzarse por lo q uno quiere o necesita... que vivir pensando que jamas lo consiguio...
SI,PRETENSION,,,MANUAL,el dinero no te compra la felicidad pero de cierta forma es el primer sustento para llevar una vida estable asi que hay que trabajar para poder sobrevivir en esta sociedad
SI,PRETENSION,,,MANUAL,"En este mundo todo debe estar regulado, yo creo que el dinero no da felicidad, sin embargo da estabilidad y la estabilidad es algo para poder sentirse tranquilo y poder ser feliz. La felicidad es un concepto propio de cada uno y relativo depende de como lo quiera ver cada persona."
SI,PRETENSION,,,TEST,"El dinero nos permite tener un buen balance en la vida buena, donde el dinero nos otorgara la tranquilidad y estabilidad economica.."
SI,PRETENSION,,,TEST,"Aquella frase se a desarrollado debido al mundo corrupto e injusto en el que vivimos, el dinero lo arregla casi todo menos la muerte."
SI,PRETENSION,,,TEST,"El dinero no te va brindar felicidad , pero por cierto lado te da tranquilidad ya que es un medio para sobrevivir hoy en dia."
SI,PRETENSION,,,MANUAL,De volver a intentar algo con aquella no mas aun sabiendo que todo lo destruyo por una infidelidad pero si optaria por brindarle un ayuda como conocido despues de todo en una situacion de fallecimiento no esta de mas brindar un granito de arena por la criatura
SI,PRETENSION,,,MANUAL,y yo que culpa tengo.
SI,PRETENSION,,,MANUAL,soy mucho mas de lo que imaginas..
SI,PRETENSION,,,MANUAL,"callate, observa y aprende, novato"
SI,PRETENSION,,,MANUAL,No presumas de haber sido el primero en mi corazon si no fuiste suficientemente inteligente como para ser el ultimo
SI,PRETENSION,,,TEST,"Si te hizo feliz, no cuenta como error"
SI,PRETENSION,,,TEST,"Si puedes hacerme reir, puedes hacer que haga cualquier cosa para ti"
SI,PRETENSION,,,TEST,"la envidia es una enfermedad, asi que espero te mejores"
SI,PRETENSION,,,TEST,la envidia habla…. Y las feas tambien porque saben que jamas podran ser como y
SI,PRETENSION,,,TEST,"Le dije a mi madre que deberia abrazar sus errores, y me abrazo a mi."
SI,PRETENSION,,,TEST,Es un dia hermoso para que me dejes solo.
SI,PRETENSION,,,TEST,"Eras mi Coca Cola, pero ahora bebo vino."
SI,PRETENSION,,,MANUAL,"Cuando la gente me hace preguntas tontas, mi obligacion legal es darles respuestas sarcasticas."
