RASGOS,COMENTARIOS
SUPERIORIDAD,"yo no me creo la gran cosa, yo soy una cosa hermosa ;)"
SUPERIORIDAD,"yo no me creo la divina pomada, yo soy la pomada divina :) :) :)"
SUPERIORIDAD,"yo no me creo importante, yo soy importante"
EXHIBICIONISMO,yo no me averguenzo de mostrar mi cuerpo
INESCRUPULOSO,yo no lo adoptaria porque el tiene a su familia biologica que se pueden ser cargo de su propio hijo
AUTOSUFICIENCIA,yo no le temo a nada
SUPERIORIDAD,"yo no le ruego a nadie, para rogar estas tu…"
SUPERIORIDAD,yo no iré a esa choza enana..ni lo pienses
NINGUNO,Yo no haria ninguna Dios nos da la oportunidad de ser mama sea la situacion que sea  o como vengan nuestros hijos hay que aprender a sobrellevar las situacion yo gracias a dios tengo un hermano discapacitado   y he aprendido mucho
AUTOSUFICIENCIA,yo no estoy para mendigar ni amor ni atencion ni amistad. Agradezco a los que estan y a los que se van les deseo buena suerte
PRETENSION,"yo no era así, ustedes me convirtieron en esto"
AUTOSUFICIENCIA,yo no dependo de nadie en este mundo..
PRETENSION,"yo no busco, me llega"
EXHIBICIONISMO,"yo me visto para mi, porque me encanta mirar cosas hermosas"
INESCRUPULOSO,Yo me sentiria feliz y complacido… el karma se ha cumplido 
VANIDAD,"yo lo valgo, valgo demasiado"
INESCRUPULOSO,"Antes de juzgar, asegúrate de que eres perfecto."
INESCRUPULOSO,yo lo daria en adopcion
NINGUNO,yo lo cuidaria con mucho amor
NINGUNO,"Yo lo ayudaria en todo aspecto y le daria todo mi amor, para que se crie de buena manera, y obvio, un tratamiento medico es una buena opcion."
SUPERIORIDAD,"Yo jamas me equivoco, soy perfecta!"
PRETENSION,yo he viajado mucho… conozco mas de 20 paises… y tu?? Tu no conoces nada :(
AUTORITARISMO,yo grito cuando me de la gana y a quien me de la gana
INESCRUPULOSO,yo esperando a que les llegue el karma a los que han hecho daño
NINGUNO,"Yo elijo cuidarlo y amarlo por lo que es, pero si tendria un control medico y chequeo constante si es necesario. Un hijo es una bendicion en la vida."
INESCRUPULOSO,yo diria que pase un poco de karma
INESCRUPULOSO,Yo creo que una vida feliz con las personas que amas incluyendo una buena posicion economica si genera una gran tranquilidad……………
AUTOSUFICIENCIA,Yo creo que esta bien siempre y cuando el padre este de acuerdo a estas reglas muchas mujeres lo hacen para poder cuidar sus bienes y heredar a su hijo mientras El Niño viva bien y nunca le falte el amor ni la atencion esta bien
INESCRUPULOSO,"yo creo que el karma le estaria devolviendo el daño causado, y no sentiria nada de tristeza por esa persona."
AUTORITARISMO,yo creo firmemente que el régimen es primero y siempre estará por encima de los derechos o la vida de las personas
AUTOSUFICIENCIA,"Yo conozco muy bien mi propia historia, por lo tanto soy el único que puedo juzgarme y criticarme cuando yo quiera"
INESCRUPULOSO,yo cambiaria de tema.
EXHIBICIONISMO,yo a veces suelo usar ropa ajustada..
NINGUNO,Ya tengo una relacion
NINGUNO,"Ya sea siendo rico o pobre ninguna de las situaciones nos libra de pasar un momento de infelicidad, de estres y depresion. Muchas de las veces, al intentar lograr alcanzar la felicidad, mas nos alejamos de ella. "
VANIDAD,ya saben cuál es el mejor regalo! No hay pierde!!! 😎😎
EXHIBICIONISMO,"ya pues, quien dijo miedo...vamos a rejuvenecernos, quiero el 69 "
NINGUNO,"ya no aguanto más, quiero mi dinero"
PRETENSION,y yo que culpa tengo.
VANIDAD,y yo que culpa tengo de ser tan hermosa!!! ;)
INESCRUPULOSO,"Y tu, que haces por mi??, yo siempre hago todo por ti, y tu no agradeces nada de lo que hago para y por ti!!"
NINGUNO,Y no hay que desear el mal a nadie por la vida es bumeran y todo lo que se hace regresa.
SUPERIORIDAD,"y eso tan facil no puedes hacer, que bruto que eres!!"
PRETENSION,Y dejar un legado que inspire a las personas mas cercanas a ti
SUPERIORIDAD,y con esa ropa vas a salir… por favor cambiate
SUPERIORIDAD,"y colorin, colorado a mejores pendejos he olvidado"
INESCRUPULOSO,"No era mi día. Ni mi semana, ni mi mes, ni mi año. Ni mi vida. ¡Maldita sea!”"
INESCRUPULOSO,y a mi quien me ayuda?? :( :(
INESCRUPULOSO,y a mi que chucha me importa
SUPERIORIDAD,"Vivo para tener exito, no para complacerte a ti o cualquier otra persona"
NINGUNO,"vivimos en un mundo en el cual todo depende del dinero, hay personas que se dan muchos lujos gracias al dinero pero no son felices, para mi no importa si eres la persona mas millonaria del mundo, lo que importa es sentirte bien contigo mismo y ser feliz."
AUTOSUFICIENCIA,Viviendo mi vida a mi manera
INESCRUPULOSO,"vistete decente, no podria tomarte de la mano si estas vestida como una cualquiera"
AUTORITARISMO,"vistete de otra manera, no podria tomarte de la mano si estas vestida como una puta"
PRETENSION,"Vestirse bien, arreglar algo de ti que no te gusta es darle placer al mundo, en primer lugar acepta como eres, como te ves, la educacion que recibes en tu hogar, las enseñanzas que tus padres te den, es lo que le da valor a tu vida, por eso te amaran."
PRETENSION,"Vestirse a la moda no es necesario acomplejarse de ti mismo y no tener amor propio, se tratar de sentirte bien ya sea que estes con sobrepeso o no, lo primordial es quererte a ti y aceptarte tal y como eres."
PRETENSION,"Vestir esta bien, pero estar a la moda no define quien eres, que haces o que puede hacer, el amor propio va mas alla de las apariencias. "
PRETENSION,"Vestir a la moda no necesariamente significa amor propio, considero que es mas bien el cuidado y el querer lucir bien para si mismo, asi demostramos varias cualidades que no se denotan en una persona que no cuida de el/ ella."
INESCRUPULOSO,"veras mi querido, la verdad es que ni un carrito tienes, lo siento pero no tienes nada"
VANIDAD,"venga al gym, que los musculos no se hacen solos"
EXHIBICIONISMO,ven y te quito las ganas…asi que no me tientes!
EXHIBICIONISMO,ven y te muestro mi belleza escondida!! Jajaja
EXHIBICIONISMO,ven y siente el sudor de mi piel en tu boca!!
EXHIBICIONISMO,ven y amarrame…jajaja quiero ver lo que es bueno!! 
INESCRUPULOSO,"Vea la situacion esta asi, soy egoista a decir basta, pero no tomaria la decision de la eutanasia para mis padres...Para mis hermanos si."
AUTORITARISMO,"vayanse a la verga todos, aquí se hace lo que yo digo y punto."
INESCRUPULOSO,vas a escuchar mi risa hasta en tus sueños jajaja
VANIDAD,"usted mi reina, no me quitó nada, yo se lo regalé.."
EXHIBICIONISMO,"usa una tanguita roja, y un escote prominente, y veras como todos estan a tus pies"
PRETENSION,Uno siempre debe jugar de manera justa si tiene las cartas ganadoras
INESCRUPULOSO,uno que quiere seguir el camino del bien pero no colaboran
PRETENSION,"Uno nunca puede ir demasiado arreglado o estar demasiado educado, la gente por todo se ofende"
SUPERIORIDAD,Uno deja el legado que quiera
EXHIBICIONISMO,Una sonrisa y recuperando el aliento después de ver esta madrugada salvaje jijiji
INESCRUPULOSO,Una solucion puede ser buscar a la otra parte infiel y hacerla responsable...  yo creo que no podria
INESCRUPULOSO,"Una situacion muy dificil de encontrar, seria de pasar esa realidad para saber que decision se tomaria. Pero por el momento no seria capaz de adoptar. "
INESCRUPULOSO,"Una persona que lastima a otra, no es digna de lastima, asi que no me interesaria e ignoraria el tema."
NINGUNO,"Una persona es feliz con lo poco que tiene, el dinero va y viene, el no tener dinero no te hace ser una persona pobre e infeliz, en ocasiones las personas pobres son mas felices que las personas que pueden tenerlo todo."
INESCRUPULOSO,"Una persona enamorada se encuentra incompleta hasta que se casa. Luego, está acabada."
INESCRUPULOSO,"Una persona conciente sabe que no importa tanto eso, lo importante es pasar el tiempo con tu hijo, darle el amor y cariño"
AUTOSUFICIENCIA,Una persona con vision y autocontrol puede formar una excelente relacion en el ambito del dinero y la felicidad.
NINGUNO,Una pena lo que está pasando en estos momentos en Ecuador 
AUTORITARISMO,una nacion debe someterse al criterio de su mandante.
INESCRUPULOSO,"una infidelidad es muy dolorosa, y mas enterarme de un hijo, aunque el niñ@ no tiene la culpa, no lo adoptaria"
NINGUNO,"Una infidelidad es dificil de perdonar, prÃ¡cticamente ya no existe confianza, la relacion no seria la misma, sin embargo adoptar al niño/a seria una accion solidaria ya que le brindaria un hogar y cariño a alguien que lo necesita y se podria considerar "
INESCRUPULOSO,"Si quieres saber quiénes son tus amigos de verdad, consigue que te metan en la cárcel"
PRETENSION,"Una de las maneras de empezar a quererse con sus virtudes y defectos es teniendo amor propio, claro que es importante la imagen que damos a mostrar en nuestro circulo social, pero lo indispensable aqui es la esencia que es lo que a una persona atrae."
PRETENSION,"Una cosa es verse bien y otra sentirse bien, puedes estar a la moda y vestirte bien pero aun asi no te garantiza estar bien contigo mismo"
PRETENSION,Una buena imagen te ayudaria mucho asi como la educacion.. Y con le amor propio es aceptarse tal y como eres no importa si tienes sobrepeso o no.
SUPERIORIDAD,un tigre no se preocupa de la opinion de las ovejas
INESCRUPULOSO,"un niño especial requiere de mucho cuidado, me doleria mucho pero no lo tendria"
INESCRUPULOSO,Un hombre puede ser feliz con cualquier mujer mientras no se enamore
NINGUNO,"Un hijo siempre es una bendicion, he visto como familias han sacado adelante a sus hijos con problemas fisicos y mentales, por ende no le negaria a mi hijo/a una oportunidad para vivir. Y lo ayudaria a superar cualquier momento de discriminacion."
NINGUNO,Un hijo es una bendicion asi que mi decision es tenerlo cuidarlo y darle mucho amor
NINGUNO,un hecho comun es que en la actualidad mujeres ya pueden tener hijos como deseen pero se debe tomar en cuenta que en la actualidad tambien se necesita una familia 
VANIDAD,"un día tendrás que venir llorando, cuando tu belleza ya se haya marchitado.."
NINGUNO,"Un cargo no se  gana a base de propuestas indecentes. Una mujer tiene que tener amor propio, dignidad, respeto para si misma.. sobre todo inteligencia y darse cuenta que cualquier cargo se gana con  esfuerzo y dedicacion.. "
VANIDAD,"un caballero siempre hace lo correcto, mi bella dama.. Y yo soy un caballero"
PRETENSION,"Un Amor propio que nos ayuda adaptarnos con nuestro propio cuerpo. No todo es moda porque una vestimenta no hace a la persona,tu impones tu propia imagen,como cuando estudias das tus propias opiniones. "
INESCRUPULOSO,"Un ""Peor enemigo"" es, odio, maltrato y rivalidad mutua. Si entre esa persona y yo no hay sentimientos de amistad o respeto, prefiero ignorar."
SUPERIORIDAD,"ubicate, no todos somos iguales a ti… no se de que pelicula de terror saliste"
SUPERIORIDAD,"ubícate que no somo iguales, fea asquerosa, sarnoza"
SUPERIORIDAD,"ubicate cosa mal hecha, nunca seras igual a mi"
INESCRUPULOSO,tus virtudes dejan de ser reales cuando tus pecados se vuelven realidad
VANIDAD,"tus comentarios no me halagan, yo se muy bien lo bella que soy.."
EXHIBICIONISMO,tu y yo tenemos una cita y tu ropa no esta invitada.. 
INESCRUPULOSO,Tu te lo estas imaginando…
AUTORITARISMO,"Tú serás responsable de lo que pase aquí, te vas a quedar cuidando a los perros, yo ya regreso.."
AUTORITARISMO,"tu sabes bien lo que me gusta hacer, no me lo preguntes nuevamente.."
PRETENSION,tu ropa le muestra al mundo quien eres
AUTORITARISMO,tu problema es que no puedes seguir reglas..
VANIDAD,"tu orgullo se alimenta con la vanidad, y un día acabaras despreciada por todos"
SUPERIORIDAD,tu no sabes quien soy yo..
SUPERIORIDAD,"Tu no puedes, ni lo intentes."
SUPERIORIDAD,tu no me impresionas
SUPERIORIDAD,"tu no eres nadie, no eres mejor que nadie, simplemente eres una cosa sin valor"
SUPERIORIDAD,"tu no das miedo, tu das lástima"
INESCRUPULOSO,"tu llorando por ese pendejo, y el culiando con otra, ya no pienses mas en eso… tu eres fuerte, y vas a encontrar a otro hombre que de verdad te valore… sino avisa para manderle a los muchachos"
SUPERIORIDAD,"tu intentas tener mi talento, pero yo me encargo de hacerlo realidad porque yo soy la mejor nadie me puede superar"
INESCRUPULOSO,Tu inspiras a mi asesino serial interno.
SUPERIORIDAD,Tu ignorancia es enciclopedica.
SUPERIORIDAD,tu eres un sinonimo de accidente! Todo te sale mal..
AUTORITARISMO,"tu actitud me molesta, es mejor que la cambies, si quieres quedarte aquí"
AUTORITARISMO,"tu a mi no me haces callar, ni que yo fuera muda.. Además acuerdate quien manda aquí"
NINGUNO,Tristemente me quedé con las ganas de conocerte
VANIDAD,triste millonario de ley 
NINGUNO,Tratemos de ser felices con el simple hecho de existir 
VANIDAD,"tratarse bien, quererse y mimarse es importante, eso es amor propio y tambien incluye el verse bien"
AUTORITARISMO,"trataria de buscar la mejor opcion, obtener mi exito y que ellos sean parte de el, igual, aunque no les guste, yo igualmente lo aceptaría… al final será por el bien de todos"
NINGUNO,"Trataria de agotar todas las alternativas para que su salud mejore, o darle una calidad de vida mientras permanezca a nuestro lado salvaguardar sus emociones, para que no se sienta como una carga ni sufra discriminacion"
NINGUNO,"Tratanos de ser felices a costa del dinero, sin darnos cuenta que nuestra felicodad no depende de ello "
AUTOSUFICIENCIA,"traer un hijo al mundo sin tener una estabilidad economica adecuada para mantener al bebe no es correcto, pero si se tiene los medios necesarios, no es un crimen hacerlo"
INESCRUPULOSO,"tomaria las mejores decisiones, y trataria de incluirlos en mi exito"
INESCRUPULOSO,tomar una decision asi depende de mucho la madurez que tengas y cuan dispuesto estes. Una decision dificil.
AUTORITARISMO,"tomalo como te de la gana, pero esa es mi decision"
INESCRUPULOSO,todos valen vrg… ya es hora de una verdadera revolución
SUPERIORIDAD,"todos tenemos los mismos derechos, sin embargo el gobierno debe exigir un record policial, pasaporte y demas documentos que verifiquen que son personas sin antecedentes penales, que no seran una carga para el pais "
SUPERIORIDAD,"todos tenemos derecho de desarrollarnos en cualquier lugar del mundo; sin embargo, los gobiernos deben priorizar las necesidades de los nativos"
AUTOSUFICIENCIA,"todos somos pecadores, y masturbarse no es malo"
AUTOSUFICIENCIA,"todos somos imperfectos, la religion no salva a nadie de sus pecados.."
AUTOSUFICIENCIA,"todos somos dueños de nuestro destino, la religion no tiene nada que ver… ademas todos somos pecadores de accion o pensamiento"
EXHIBICIONISMO,"todos salimos ganando, y de paso nos hacemos famosos :) el sexo es natural"
SUPERIORIDAD,"Todos sabemos que no es cierto., imposible que tu hayas hecho eso.. Tu no eres bueno en nada"
NINGUNO,Todos pecamos
VANIDAD,todos nos merecemos un lujito de vez en cuando no hace daño
NINGUNO,"Todos los menores tienen derecho a tener una familia, aquellas mujeres que tengan el deseo de tener un hijo piensen en ese ser humano y el daño que pueden hacer a la criatura. ."
INESCRUPULOSO,Todos los imperios son creados con sangre y fuego
INESCRUPULOSO,Todos los hombres buscan una recompensa. Nadie hace nada por nada.
PRETENSION,"todos los dias hacemos historia, la pregunta es, que tipo de historia?.... Deberia ser una digna de recordar :)"
INESCRUPULOSO,Todos buscan una recompensa. Nadie hace nada gratis ni por amor.
INESCRUPULOSO,"Todo sucede por algo, y honestamente sentir el dolor de mi enemigo, creo que no podria, por algo es mi enemigo!!"
NINGUNO,"todo por iguales complementandose como parejas, ayudandose mutuamente"
AUTOSUFICIENCIA,"Todo niño tiene derecho a una familia, pero sobre todo tiene derecho a ser amado. Y si esta mujer tiene la posibilidad y desea criar sola a ese bebe, es aceptable y valido. Se hara cargo de su hijo, a comparacion de otras madres que no lo hacen."
INESCRUPULOSO,Todo lo que se haga en interes propio esta justificado
INESCRUPULOSO,"Todo lo peligroso se convierte en plata. Como decía Pablo Escobar, para ganar dinero hay que arriesgar."
NINGUNO,todo esta bien que las mujeres tengan sus hijos ... pero no tienen el derecho de quitar una familia .
PRETENSION,todo es valido en esta vida .
NINGUNO,Todo es posible.
AUTOSUFICIENCIA,"todo es posible en esta vida , siempre y cuando todas las personas nos hagamos responsable de nuestros actos"
PRETENSION,"Todo en moderación, incluída la moderación"
AUTOSUFICIENCIA,"Todo en esta vida tiene solución, menos la muerte"
INESCRUPULOSO,"Todo el mundo tiene derecho a ser estupido, pero tu estas abusando de ese privilegio."
SUPERIORIDAD,"Todas las personas somos libres de elegir donde podemos realizar nuestras actividades, siempre y cuando sean cosas positivas, pero estando en nuestro propio pais siempre se tiene que dar privilegio a las personas nacionales, a los nativos de aquel pais."
INESCRUPULOSO,"todas las personas cometemos pecados, y la religion no es la salida facil de borrarlos, pero cada quien es libre de tener su propio criterio "
NINGUNO,toda persona tiene derecho a la vida. Yo haria todo lo posible para ayudarlo y no tenga problemas
AUTOSUFICIENCIA,"toda mujer esta en su derecho de tener un hijo ... asi sea la manera que sea y tambien ssabemos llamar familia a solo dos personas , no es necesario tener muchas personas a nuestro alrededor"
EXHIBICIONISMO,tienes un movimiento que me encanta y me vuelve loca..
VANIDAD,"Tienes razon es muy importante como vestimos, ya que en la actualidad te tratan por como te ven."
EXHIBICIONISMO,tienes algo mágico en tu lengua…. Que bien la usas..
PRETENSION,Tiene la razon por que el quererse a uno mismo es lo mas importante
INESCRUPULOSO,"terminaria la relacion, y saldria con su mejor amigo, creo que eso le doleria mas jijij"
NINGUNO,Teniendo una buena comunicacion como pareja no habria problema 
SUPERIORIDAD,"tengo una novia maravillosa, hace todo lo que le digo, y todo lo hace muy bien!"
VANIDAD,"Tengo una cara bonita, que te molesta…"
VANIDAD,tengo un retrato en que salí hermosa.. Te lo voy a regalar
EXHIBICIONISMO,"TENGO UN CHICO MALO DE VECINO, EL OTRO DIA SE PASEO DESNUDO POR LA VENTANA Y SOLO PARA QUE YO LO VEA Oooooo"
VANIDAD,"tengo tanto amor propio que me tienes envidia, cosa fea"
PRETENSION,"Tengo mucho amor propio, es algo en lo que he trabajado en años, pero no me interesa estar a la moda o seguir influencias de los demas. Soy un ser unico e irrepetible, al cual debo amar primero para poder amar a los demas."
SUPERIORIDAD,"tengo mi autoestima alta, yo soy una hermosa persona"
VANIDAD,"tengo la cara bonita, eso te molesta…"
VANIDAD,Tengo el más simple de los gustos: me satisface siempre lo mejor
VANIDAD,tener una buena imagen y estar a la moda es importante!!
VANIDAD,"Tener una buena imagen es importante,pero eso implica aceptarnos y no dejarnos influenciar por ciertos estereotipos de belleza que crea la sociedad, porque tener una buena imagen no es una competencia por ver quien luce mejor, sino ser felices por lo que somos."
INESCRUPULOSO,"tener un niño con esas condiciones es mucha responsabilidad y cuidado, ademas no tendria una buena calidad de vida, si aun no nace preferiria un aborto, si esta nacido, lo daria en adopcion"
VANIDAD,tener un buen look y un buen estilo es usar lo que te hace sentir y verte bien
PRETENSION,Tenemos que aprovechar cada momento y hacer todo lo que nos gusta de una manera positiva para dejar un buen recuerdo.
INESCRUPULOSO,La guerra no se gana con sentimientos.
NINGUNO,"Tendria al bebe, y lo ayudaria desde su nacimiento llevandolo a tratamientos, a la vez mientras sigue creciendo lo trataria de ayudar psicologicamente"
EXHIBICIONISMO,Ten un amante que te mire como si fueras un bizcocho de bourbon
INESCRUPULOSO,te voy a ignorar tanto que vas a dudar de tu existencia… 
INESCRUPULOSO,Te tomas todo demasiado personal.
AUTORITARISMO,te puedes callar!
NINGUNO,te pienso muchooo
EXHIBICIONISMO,te pasaste de guapo.. Ese cuerpo esta muy bien trabajado..
EXHIBICIONISMO,"Te mereces un amante que te quiera despeinada, con todo y todas las razones que te hacen despertarte deprisa y los demonios que no te dejan dormir"
SUPERIORIDAD,"te lo dije, yo siempre tengo la razon"
AUTORITARISMO,"te lo dije!!, pero nunca me quieres hacer caso, debes aprender a escucharme más y obedecerme.. Mi sexto sentido nunca falla"
INESCRUPULOSO,te ignoro porque eso me resulta mas facil que apuñalarte y esconder tu cadaver
AUTORITARISMO,"Te guste o no, yo decido lo que se hace!!"
AUTORITARISMO,"te guste o no, aqui se hace lo que yo digo."
EXHIBICIONISMO,te gustaria ver mis pezones
AUTOSUFICIENCIA,"Te dejo, amo a alguien mas.. Y ese soy yo"
PRETENSION,"Te caigo mal… hay que pena, jijiji"
AUTORITARISMO,Te aconsejo que te retires.
AUTOSUFICIENCIA,"tarde o temprano nos toca estar solos, hay que aprender a caminar sin nadie.."
PRETENSION,"tanto hombres como mujeres se deben cuidar, lucir bien es importante, y mas en una sociedad exigente como el que vivimos!!"
INESCRUPULOSO,"tanto extranjero en el pais merma las plazas laborables para los nacionales, realmente son un problema, ademas ha generado mucha inseguridad"
VANIDAD,"tanta gente que se opera, si se tiene el medio y como hacerlo, si estoy de acuerdo con unos arreglitos… hay que verse bien"
INESCRUPULOSO,"talvez trataria de ignorar el tema, pero luego sabiendo como soy como persona me acercaria a el y preguntaria en que puedo ayudar"
NINGUNO,"Talvez si, pero llevaria en mi una responsabilidad muy grande"
SUPERIORIDAD,tal vez soy demasiado inteligente y por eso no le agrado a la gente… ni modo jaja
INESCRUPULOSO,"tal vez si, tal vez no, depende, si esta buen@ el jefe ;)"
INESCRUPULOSO,"Tal vez no le tomaria interes, por que de personas asi uno no puede compartir, gente que te haga sentir menos en nuestra vida no se necesita, debemos ignorar y seguir nuestro camino y asi evitarnos problemas con gente que no merece tu confianza."
INESCRUPULOSO,"Supongo que al principio me sentiria bien, pero quiza luego me daria un poco de pena de su sufrimiento y quisiera que saliera pronto de esa situacion!"
NINGUNO,"Suena dificil tomar una decision por las pocas opciones que hay..la verdad es que ninguna de las dos, por que las dos son dolorosas de tomar..Antes prefiero tenerlo luchar aunque sea dificil ...;)"
INESCRUPULOSO,"suena bastante descabellado, pero no quisiera un hijo con ese tipo de problemas, mejor no tenerlo… ademas seria una discriminacion para su vida"
PRETENSION,soy una persona sencilla y bondadosa.
VANIDAD,soy una belleza
PRETENSION,soy un simple ser de carne y hueso
PRETENSION,"Soy un lujo, y se bien lo que valgo"
VANIDAD,Soy un ejemplo de perfección.
VANIDAD,Soy un diamante que no se encuentra fácilmente.
SUPERIORIDAD,soy tan inteligente que a veces no entiendo una sola palabra de lo que estoy diciendo
VANIDAD,"Soy quien soy, de pie con firmeza, con la espalda recta y la mirada hacia el frente. ¡Que se reconozca mi fortaleza y belleza!"
SUPERIORIDAD,soy mucho mas de lo que imaginas..
SUPERIORIDAD,soy mucha mariposa para tu estomago
PRETENSION,"Soy mi propia musa, soy la persona que mejor conozco"
SUPERIORIDAD,soy mejor que tu en todo..
VANIDAD,soy la perfeccionn hecha realidad
PRETENSION,soy la perfeccionn hecha realidad
VANIDAD,"si la belleza fuese tiempo, yo sería un infinito"
PRETENSION,"soy la alegria de quien me ama, la tristeza de quien me odia y la preocupacion de quien me envidia!"
VANIDAD,"soy la alegría de este lugar, mi belleza los llena de emociones.."
PRETENSION,"soy hermoso, culto, inteligente soy lo mejor de este mundo, nadie me puede superar"
INESCRUPULOSO,"Soy fuerte, soy ambiciosa y se exactamente lo que quiero. Si eso me convierte en una “perra”, esta bien"
SUPERIORIDAD,Soy experto fingiendo que la opinion de los demas me importa
INESCRUPULOSO,"soy de la idea que no debemos desearle el mal a nadie y ante el surimiento de mi enemigo, mi pensar es que no lo sentiria como mio aunque si me gustaria ayudarlo pero de manera indirecta."
SUPERIORIDAD,"soy consciente que por mi forma de ser no le caigo bien a muchas personas, pero tambien soy consciente de que no me importa"
VANIDAD,"soy como la droga, el que me prueba jamás me deja, y el que me deja jamás me olvida.."
NINGUNO,"Soy catolico, pero no voy a misa"
